Date,Home,Away,Predicted_Winner,Confidence,Type,Result,Real_Winner
2025-12-13,ORL Magic,NYK Knicks,NYK Knicks,58.0%,Auto,GAGNE,NYK Knicks
2025-12-13,OKC Thunder,SAS Spurs,OKC Thunder,72.2%,Auto,PERDU,SAS Spurs
2025-12-14,IND Pacers,WAS Wizards,IND Pacers,75.1%,Auto,PERDU,WAS Wizards
2025-12-14,CLE Cavaliers,CHA Hornets,CLE Cavaliers,69.0%,Auto,PERDU,CHA Hornets
2025-12-14,ATL Hawks,PHI 76ers,ATL Hawks,57.4%,Auto,GAGNE,ATL Hawks
2025-12-14,BKN Nets,MIL Bucks,BKN Nets,53.7%,Auto,GAGNE,BKN Nets
2025-12-14,MIN Timberwolves,SAC Kings,MIN Timberwolves,74.6%,Auto,GAGNE,MIN Timberwolves
2025-12-14,CHI Bulls,NOP Pelicans,NOP Pelicans,61.1%,Auto,GAGNE,NOP Pelicans
2025-12-14,PHX Suns,LAL Lakers,PHX Suns,56.3%,Auto,PERDU,LAL Lakers
2025-12-14,POR Trail Blazers,GSW Warriors,GSW Warriors,50.2%,Auto,PERDU,POR Trail Blazers

2025-12-15,BOS Celtics,DET Pistons,BOS Celtics,80.7%,Auto,
2025-12-15,MIA Heat,TOR Raptors,MIA Heat,69.0%,Auto,
2025-12-15,UTA Jazz,DAL Mavericks,UTA Jazz,58.9%,Auto,
2025-12-15,DEN Nuggets,HOU Rockets,DEN Nuggets,70.9%,Auto,
2025-12-15,LAC Clippers,MEM Grizzlies,MEM Grizzlies,50.4%,Auto,
